OBJECTID,Shape,name,telephone,url,streetAddress,streetAddress/address2,addressLocality,postalCode,loc,longitude,latitude,entityTitle,@context,@type,@id
1,"(40.703816550000056, -74.01375579499995)",Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn, ,New York,10004,"[-74.01375579499995,40.703816550000056]",-74.01375579499995,40.703816550000056,alexander_hamilton_u_s_custom_house_1_bowling_grn,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/alexander_hamilton_u_s_custom_house_1_bowling_grn
2,"(40.615121171000055, -74.06303178799993)",Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd, ,Staten Island,10305,"[-74.06303178799993,40.615121171000055]",-74.06303178799993,40.615121171000055,alice_austen_house_museum_2_hylan_blvd,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/alice_austen_house_museum_2_hylan_blvd
3,"(40.83385383400008, -73.94729768499991)",American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St., ,New York,10032,"[-73.94729768499991,40.83385383400008]",-73.94729768499991,40.83385383400008,american_academy_of_arts_and_letters_633_w_155th_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_academy_of_arts_and_letters_633_w_155th_st
4,"(40.76162530600004, -73.97810302099992)",American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street, ,New York,10019,"[-73.97810302099992,40.76162530600004]",-73.97810302099992,40.76162530600004,american_folk_art_museum_45_west_53rd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_folk_art_museum_45_west_53rd_street
5,"(40.69905659600005, -74.03968483799991)",American Immigration History Center,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0,"[-74.03968483799991,40.69905659600005]",-74.03968483799991,40.69905659600005,american_immigration_history_center_ellis_island,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_immigration_history_center_ellis_island
6,"(40.78082656700008, -73.97364816499993)",American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street, ,New York,10024,"[-73.97364816499993,40.78082656700008]",-73.97364816499993,40.78082656700008,american_museum_of_natural_history_central_park_west_at_79th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_museum_of_natural_history_central_park_west_at_79th_street
7,"(40.723526925000044, -74.00701187899995)",American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St, 11th Floor,New York,10013,"[-74.00701187899995,40.723526925000044]",-74.00701187899995,40.723526925000044,american_numismatic_society_75_varick_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/american_numismatic_society_75_varick_st
8,"(40.76882456300007, -73.96597045099992)",Americas Society,(212) 249-8950,http://as.americas-society.org/,680 Park Ave., ,New York,10021,"[-73.96597045099992,40.76882456300007]",-73.96597045099992,40.76882456300007,americas_society_680_park_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/americas_society_680_park_ave
9,"(40.72112778300004, -73.99963036799994)",Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street, 5th Floor,New York,10012,"[-73.99963036799994,40.72112778300004]",-73.99963036799994,40.72112778300004,anne_frank_center_usa_38_crosby_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/anne_frank_center_usa_38_crosby_street
10,"(40.769834116000084, -73.9642839569999)",Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue, ,New York,10021,"[-73.9642839569999,40.769834116000084]",-73.9642839569999,40.769834116000084,asia_society_725_park_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/asia_society_725_park_avenue
11,"(40.83358261600006, -73.94654590499994)",Audubon Terrace, ,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street, ,New York,10032,"[-73.94654590499994,40.83358261600006]",-73.94654590499994,40.83358261600006,audubon_terrace_broadway_at_155_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/audubon_terrace_broadway_at_155_street
12,"(40.87177865100006, -73.80557949899992)",Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road, Pelham Bay Park,Bronx,10464,"[-73.80557949899992,40.87177865100006]",-73.80557949899992,40.87177865100006,bartow_pell_mansion_895_shore_road,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bartow_pell_mansion_895_shore_road
13,"(40.76288666600004, -73.82489046299992)",Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street, ,Queens,11354,"[-73.82489046299992,40.76288666600004]",-73.82489046299992,40.76288666600004,bowne_house_37_01_bowne_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bowne_house_37_01_bowne_street
14,"(40.87823677400007, -73.8797487409999)",Bronx Historical Society & Musem,(718) 881-8900,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave, ,Bronx,10467,"[-73.8797487409999,40.87823677400007]",-73.8797487409999,40.87823677400007,bronx_historical_society_musem_3309_bainbridge_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bronx_historical_society_musem_3309_bainbridge_ave
15,"(40.831030113000054, -73.91975017699991)",Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse, ,Bronx,10456,"[-73.91975017699991,40.831030113000054]",-73.91975017699991,40.831030113000054,bronx_museum_of_the_arts_bxma_1040_grand_concourse,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/bronx_museum_of_the_arts_bxma_1040_grand_concourse
16,"(40.67450733000004, -73.94401601399994)",Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue, ,Brooklyn,11213,"[-73.94401601399994,40.67450733000004]",-73.94401601399994,40.67450733000004,brooklyn_children_s_museum_145_brooklyn_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/brooklyn_children_s_museum_145_brooklyn_avenue
17,"(40.694803308000076, -73.99240540399995)",Brooklyn Historical Society,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street, ,Brooklyn,11201,"[-73.99240540399995,40.694803308000076]",-73.99240540399995,40.694803308000076,brooklyn_historical_society_128_pierrepont_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/brooklyn_historical_society_128_pierrepont_street
18,"(40.671083545000045, -73.96358506799993)",Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway, ,Brooklyn,11238,"[-73.96358506799993,40.671083545000045]",-73.96358506799993,40.671083545000045,brooklyn_museum_200_eastern_parkway,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/brooklyn_museum_200_eastern_parkway
19,"(40.74789793400004, -74.00731553399993)",Chelsea Art Museum,(212) 255-0719,http://www.chelseaartmuseum.org/,556 West 22nd Street, ,New York,10011,"[-74.00731553399993,40.74789793400004]",-74.00731553399993,40.74789793400004,chelsea_art_museum_556_west_22nd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/chelsea_art_museum_556_west_22nd_street
20,"(40.785871254000085, -73.97727392099995)",Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street, ,New York,10024,"[-73.97727392099995,40.785871254000085]",-73.97727392099995,40.785871254000085,children_s_museum_of_manhattan_212_west_83rd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/children_s_museum_of_manhattan_212_west_83rd_street
21,"(40.72074980300005, -73.99883836099991)",Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street, ,New York,10012,"[-73.99883836099991,40.72074980300005]",-73.99883836099991,40.72074980300005,children_s_museum_of_the_arts_182_lafayette_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/children_s_museum_of_the_arts_182_lafayette_street
22,"(40.864923968000085, -73.93173408699994)",Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive, ,New York,10040,"[-73.93173408699994,40.864923968000085]",-73.93173408699994,40.864923968000085,cloisters_99_margaret_corbin_drive,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/cloisters_99_margaret_corbin_drive
23,"(40.575263576000054, -73.97985598399993)",Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave, ,Brooklyn,11224,"[-73.97985598399993,40.575263576000054]",-73.97985598399993,40.575263576000054,coney_island_museum_1208_surf_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/coney_island_museum_1208_surf_ave
24,"(40.784326074000035, -73.95778161999993)","Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street, ,New York,10128,"[-73.95778161999993,40.784326074000035]",-73.95778161999993,40.784326074000035,cooper_hewitt_national_design_museum_2_east_91st_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/cooper_hewitt_national_design_museum_2_east_91st_street
25,"(40.762107306000075, -73.97304190099993)",Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue, ,New York,10022,"[-73.97304190099993,40.762107306000075]",-73.97304190099993,40.762107306000075,dahesh_museum_580_madison_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/dahesh_museum_580_madison_avenue
26,"(40.833302443000036, -73.94649318099994)",Dia at the Hispanic Society,(845) 440-0100,http://www.diabeacon.org/,613 West 155th Street, ,New York,10032,"[-73.94649318099994,40.833302443000036]",-73.94649318099994,40.833302443000036,dia_at_the_hispanic_society_613_west_155th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/dia_at_the_hispanic_society_613_west_155th_street
27,"(40.747895260000064, -74.00613537699991)",Dia Art Foundation,(212) 989 5566,http://www.diacenter.org/,535 W 22nd Street, ,New York,10011,"[-74.00613537699991,40.747895260000064]",-74.00613537699991,40.747895260000064,dia_art_foundation_535_w_22nd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/dia_art_foundation_535_w_22nd_street
28,"(40.75750141900005, -73.9873186399999)",Discovery Times Square Exposition,(866) 987-9692,http://www.discoverytsx.com/nyc/,226 W 44th St, ,New York,1036,"[-73.9873186399999,40.75750141900005]",-73.9873186399999,40.75750141900005,discovery_times_square_exposition_226_w_44th_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/discovery_times_square_exposition_226_w_44th_st
29,"(40.722451522000085, -74.00290417199994)",Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St., ,New York,10013,"[-74.00290417199994,40.722451522000085]",-74.00290417199994,40.722451522000085,drawing_center_35_wooster_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/drawing_center_35_wooster_st
30,"(40.86713125400007, -73.92383914699991)",Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway, ,New York,10034,"[-73.92383914699991,40.86713125400007]",-73.92383914699991,40.86713125400007,dyckman_farmhouse_4881_broadway,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/dyckman_farmhouse_4881_broadway
31,"(40.72496003700007, -73.99272306099994)",East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery, ,New York,10012,"[-73.99272306099994,40.72496003700007]",-73.99272306099994,40.72496003700007,east_village_history_project_308_bowery,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/east_village_history_project_308_bowery
32,"(40.79309925400008, -73.9513676009999)",El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave, ,New York,10029,"[-73.9513676009999,40.79309925400008]",-73.9513676009999,40.79309925400008,el_museo_del_barrio_1230_fifth_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/el_museo_del_barrio_1230_fifth_ave
33,"(40.69820788700008, -74.04132161699994)",Ellis Island Museum,(212) 363-3200,http://www.ellisisland.org/,Ellis Island, ,New York,0,"[-74.04132161699994,40.69820788700008]",-74.04132161699994,40.69820788700008,ellis_island_museum_ellis_island,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/ellis_island_museum_ellis_island
34,"(40.70339960900009, -74.01133926299991)",Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street, ,New York,10004,"[-74.01133926299991,40.70339960900009]",-74.01133926299991,40.70339960900009,fraunces_tavern_museum_54_pearl_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/fraunces_tavern_museum_54_pearl_street
35,"(40.77105498700007, -73.96708040599992)",Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street, ,New York,10021,"[-73.96708040599992,40.77105498700007]",-73.96708040599992,40.77105498700007,frick_collection_1_e_70th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/frick_collection_1_e_70th_street
36,"(40.61516555800006, -74.07387774199992)",Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue, ,Staten Island,10305,"[-74.07387774199992,40.61516555800006]",-74.07387774199992,40.61516555800006,garibaldi_meucci_museum_420_tompkins_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/garibaldi_meucci_museum_420_tompkins_avenue
37,"(40.77916597400008, -73.96174203899994)",Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue, ,New York,10028,"[-73.96174203899994,40.77916597400008]",-73.96174203899994,40.77916597400008,goethe_institut_new_york_1014_fifth_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/goethe_institut_new_york_1014_fifth_avenue
38,"(40.776113783000085, -73.94306846199993)",Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128,"[-73.94306846199993,40.776113783000085]",-73.94306846199993,40.776113783000085,gracie_mansion_89th_street_at_east_end_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/gracie_mansion_89th_street_at_east_end_avenue
39,"(40.858747503000075, -73.91397962899993)",Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue, ,Bronx,10453,"[-73.91397962899993,40.858747503000075]",-73.91397962899993,40.858747503000075,hall_of_fame_for_great_americans_hall_of_fame_terrace_sedgwick_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/hall_of_fame_for_great_americans_hall_of_fame_terrace_sedgwick_avenue
40,"(40.60900900100006, -74.0323107769999)",Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop, ,Brooklyn,11252,"[-74.0323107769999,40.60900900100006]",-74.0323107769999,40.60900900100006,harbor_defense_museum_of_fort_hamilton_230_sheridan_loop,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/harbor_defense_museum_of_fort_hamilton_230_sheridan_loop
41,"(40.83345248000006, -73.94682282199994)",Hispanic Society of America Museum,(212) 926-2234,http://www.hispanicsociety.org/,613 West 155th Street, ,New York,10032,"[-73.94682282199994,40.83345248000006]",-73.94682282199994,40.83345248000006,hispanic_society_of_america_museum_613_west_155th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/hispanic_society_of_america_museum_613_west_155th_street
42,"(40.87835819800006, -73.89098784299995)",Holocaust Museum & Studies Center,(718) 817-7700,http://www.holocauststudies.org/,75 W 205th St, ,Bronx,10468,"[-73.89098784299995,40.87835819800006]",-73.89098784299995,40.87835819800006,holocaust_museum_studies_center_75_w_205th_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/holocaust_museum_studies_center_75_w_205th_st
43,"(40.67557226800005, -74.01808694199991)",Hudson Waterfront Museum and Showboat Barge,(718) 624-4719,http://www.waterfrontmuseum.org/,290 Conover St., ,Brooklyn,11231,"[-74.01808694199991,40.67557226800005]",-74.01808694199991,40.67557226800005,hudson_waterfront_museum_and_showboat_barge_290_conover_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/hudson_waterfront_museum_and_showboat_barge_290_conover_st
44,"(40.756021485000076, -73.98383672499995)",International Center of Photography,(212) 857-0000,http://www.icp.org/,1133 Avenue Of The Americas, ,New York,10036,"[-73.98383672499995,40.756021485000076]",-73.98383672499995,40.756021485000076,international_center_of_photography_1133_avenue_of_the_americas,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/international_center_of_photography_1133_avenue_of_the_americas
45,"(40.76478360700008, -74.00089180499992)",Intrepid Sea-Air-Space Museum,(212) 245-0072,http://www.intrepidmuseum.org/,Pier 86 12th Ave. & 46th Street, ,New York,10036,"[-74.00089180499992,40.76478360700008]",-74.00089180499992,40.76478360700008,intrepid_sea_air_space_museum_pier_86_12th_ave_46th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/intrepid_sea_air_space_museum_pier_86_12th_ave_46th_street
46,"(40.76695694500006, -73.93765514499995)",Isamu Noguchi Garden Museum,(718) 204-7088,http://www.noguchi.org/,32-37 Vernon Boulevard, ,Long Island City,11106,"[-73.93765514499995,40.76695694500006]",-73.93765514499995,40.76695694500006,isamu_noguchi_garden_museum_32_37_vernon_boulevard,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/isamu_noguchi_garden_museum_32_37_vernon_boulevard
47,"(40.719194962000074, -73.99749410699991)",Italian American Museum,(212) 965-9000,http://www.italianamericanmuseum.org/,155 Mulberry St., ,New York,10013,"[-73.99749410699991,40.719194962000074]",-73.99749410699991,40.719194962000074,italian_american_museum_155_mulberry_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/italian_american_museum_155_mulberry_st
48,"(40.72335099600008, -74.00664185499994)",Jackie Robinson Museum,(212) 290-8600,http://www.jackierobinson.org/,1 Hudson Square,75 Varick Street 2nd Floor,New York,10013,"[-74.00664185499994,40.72335099600008]",-74.00664185499994,40.72335099600008,jackie_robinson_museum_1_hudson_square,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/jackie_robinson_museum_1_hudson_square
49,"(40.57631316900006, -74.1381233649999)",Jacques Marchais Center Museum of Tibetan Art,(718) 987-3500,http://www.tibetanmuseum.org/,338 Lighthouse Avenue, ,Staten Island,10306,"[-74.1381233649999,40.57631316900006]",-74.1381233649999,40.57631316900006,jacques_marchais_center_museum_of_tibetan_art_338_lighthouse_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/jacques_marchais_center_museum_of_tibetan_art_338_lighthouse_avenue
50,"(40.850220369000056, -73.94694494599992)",Jeffrey's Hook lighthouse (Little Red Lighthouse),(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,178th Street at the Hudson River, ,New York,10033,"[-73.94694494599992,40.850220369000056]",-73.94694494599992,40.850220369000056,jeffrey_s_hook_lighthouse_little_red_lighthouse_178th_street_at_the_hudson_river,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/jeffrey_s_hook_lighthouse_little_red_lighthouse_178th_street_at_the_hudson_river
51,"(40.78540259000005, -73.95718705799993)",Jewish Museum,(212) 423-3200,http://www.thejewishmuseum.org/index.php,1109 Fifth Ave, ,New York,10128,"[-73.95718705799993,40.78540259000005]",-73.95718705799993,40.78540259000005,jewish_museum_1109_fifth_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/jewish_museum_1109_fifth_ave
52,"(40.75233053000005, -74.00965483699991)",John J. Harvey Fireboat, ,http://www.fireboat.org/,Pier 66 at West 26th Street, ,New York,10001,"[-74.00965483699991,40.75233053000005]",-74.00965483699991,40.75233053000005,john_j_harvey_fireboat_pier_66_at_west_26th_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/john_j_harvey_fireboat_pier_66_at_west_26th_street
53,"(40.70304235200007, -73.80376061999993)",King Manor Museum,(718) 206-0545,http://www.kingmanor.org/,152-01 Jamaica Avenue, ,Queens,11432,"[-73.80376061999993,40.70304235200007]",-73.80376061999993,40.70304235200007,king_manor_museum_152_01_jamaica_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/king_manor_museum_152_01_jamaica_avenue
54,"(40.76359603800006, -73.8241564189999)",Kingsland Homestead,(718) 206-0545,http://www.queenshistoricalsociety.org/kingsland.html,143-35 37th Avenue, ,Queens,11354,"[-73.8241564189999,40.76359603800006]",-73.8241564189999,40.76359603800006,kingsland_homestead_143_35_37th_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/kingsland_homestead_143_35_37th_avenue
55,"(40.74396040600004, -73.93514567999995)",LaGuardia and Wagner Archives,(718) 482-5065,http://www.laguardiawagnerarchive.lagcc.cuny.edu/defaultc.htm,31-10 Thomson Ave.,Fiorello H. LaGuardia Community College/CUNY Room E-238,Queens,11101,"[-73.93514567999995,40.74396040600004]",-73.93514567999995,40.74396040600004,laguardia_and_wagner_archives_31_10_thomson_ave,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/laguardia_and_wagner_archives_31_10_thomson_ave
56,"(40.74719742800005, -73.98618832999995)",Lee Young Hee Museum of Korean Culture,(212) 560-0722,http://www.lyhkm.org/,2 West 32nd Street, Suite 301,New York,10001,"[-73.98618832999995,40.74719742800005]",-73.98618832999995,40.74719742800005,lee_young_hee_museum_of_korean_culture_2_west_32nd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/lee_young_hee_museum_of_korean_culture_2_west_32nd_street
57,"(40.664380289000064, -73.96381415999991)",Lefferts Historic House,(718) 789-2822,http://www.prospectpark.org/visit/places/lefferts,Prospect Park Willink Entrance,Flatbush and Ocean Avenues and Empire Boulevard,Brooklyn,11215,"[-73.96381415999991,40.664380289000064]",-73.96381415999991,40.664380289000064,lefferts_historic_house_prospect_park_willink_entrance,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/lefferts_historic_house_prospect_park_willink_entrance
58,"(40.75631849600006, -73.9887022609999)",Madame Tussauds Wax Museum,(800) 246-8872,http://www.madametussauds.com/NewYork/,234 W. 42nd Street, ,New York,10036,"[-73.9887022609999,40.75631849600006]",-73.9887022609999,40.75631849600006,madame_tussauds_wax_museum_234_w_42nd_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/madame_tussauds_wax_museum_234_w_42nd_street
59,"(40.72765775100004, -73.99234604799994)",Merchant's House Museum,(212) 777-1089,http://www.merchantshouse.com/,29 East Fourth Street, ,New York,10003,"[-73.99234604799994,40.72765775100004]",-73.99234604799994,40.72765775100004,merchant_s_house_museum_29_east_fourth_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/merchant_s_house_museum_29_east_fourth_street
60,"(40.77942387500008, -73.96345111099993)",Metropolitan Museum of Art (MET),(212) 535-7710,http://www.metmuseum.org/,1000 Fifth Avenue, ,New York,10028,"[-73.96345111099993,40.77942387500008]",-73.96345111099993,40.77942387500008,metropolitan_museum_of_art_met_1000_fifth_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/metropolitan_museum_of_art_met_1000_fifth_avenue
61,"(40.750784700000054, -73.97988117799991)",Mexican Cultural Institute of New York,(212) 217-6422,http://www.lavitrina.com/,27 E. 39th St., ,New York,10016,"[-73.97988117799991,40.750784700000054]",-73.97988117799991,40.750784700000054,mexican_cultural_institute_of_new_york_27_e_39th_st,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/mexican_cultural_institute_of_new_york_27_e_39th_st
62,"(40.749295405000055, -73.98132148499991)",Morgan Library and Museum,(212) 685-0008,http://www.themorgan.org/home.asp,225 Madison Avenue, ,New York,10016,"[-73.98132148499991,40.749295405000055]",-73.98132148499991,40.749295405000055,morgan_library_and_museum_225_madison_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/morgan_library_and_museum_225_madison_avenue
63,"(40.83444801300004, -73.93857438799995)",Morris-Jumel Mansion,(212) 923-8008,http://www.morrisjumel.org/,65 Jumel Terrace, ,New York,10032,"[-73.93857438799995,40.83444801300004]",-73.93857438799995,40.83444801300004,morris_jumel_mansion_65_jumel_terrace,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/morris_jumel_mansion_65_jumel_terrace
64,"(40.76052611800009, -73.9597108289999)",Mount Vernon Hotel Museum & Garden,(212) 838-6878,http://www.mvhm.org/,421 East 61 Street, ,New York,10021,"[-73.9597108289999,40.76052611800009]",-73.9597108289999,40.76052611800009,mount_vernon_hotel_museum_garden_421_east_61_street,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/mount_vernon_hotel_museum_garden_421_east_61_street
65,"(40.758248639000044, -73.97499986999992)",Municipal Art Society,(212) 935-3960,http://mas.org/,457 Madison Avenue, ,New York,10022,"[-73.97499986999992,40.758248639000044]",-73.97499986999992,40.758248639000044,municipal_art_society_457_madison_avenue,http://schema.org,Museum,http://nyc.pediacities.com/resource/Museum/municipal_art_society_457_madison_avenue
